feature,importance_gain
OverallQual,44630975604848.0
GrLivArea,10707648457060.0
BsmtFinSF1,4682247921912.0
GarageCars,4320828332744.0
Neighborhood,3408426217848.0
TotalBsmtSF,2479467257176.0
LotArea,2454413065904.0
GarageArea,1117422830110.0
FullBath,1108122184120.0
1stFlrSF,1007698109392.0
KitchenQual,998997752808.0
YearBuilt,759707988128.0
Fireplaces,707011814452.0
2ndFlrSF,612961077568.0
GarageType,488604874860.0
YearRemodAdd,477209226056.0
CentralAir,416872982752.0
GarageYrBlt,396157199536.0
OverallCond,354110818776.0
WoodDeckSF,331775152388.0
LotFrontage,309050441064.0
OpenPorchSF,277780015772.0
MasVnrArea,244475114800.0
BsmtUnfSF,192903252772.0
TotRmsAbvGrd,181595407408.0
ExterQual,117405133260.0
MoSold,117190053768.0
MSSubClass,90010866536.0
BsmtFullBath,84402092872.0
ScreenPorch,67955217232.0
GarageFinish,62760138424.0
FireplaceQu,62206591232.0
YrSold,60134360764.0
MasVnrType,58464744248.0
BsmtExposure,58132510880.0
BedroomAbvGr,53396891764.0
HalfBath,40992283464.0
BsmtQual,36836647312.0
LotShape,34825357076.0
BsmtFinType1,31928263720.0
Exterior1st,20946879800.0
EnclosedPorch,14782228596.0
ExterCond,8076587440.0
MSZoning,7327183776.0
PavedDrive,4468818384.0
HeatingQC,2059562120.0
Electrical,1914304496.0
BsmtFinSF2,1429368548.0
Foundation,1249420032.0
LotConfig,650868992.0
HouseStyle,624666976.0
Exterior2nd,458141888.0
LandSlope,357995008.0
MiscFeature,271512000.0
KitchenAbvGr,162700000.0
Fence,109681000.0
Condition1,0.0
LandContour,0.0
Utilities,0.0
Condition2,0.0
Alley,0.0
PoolQC,0.0
3SsnPorch,0.0
BsmtCond,0.0
Functional,0.0
SaleCondition,0.0
SaleType,0.0
GarageCond,0.0
GarageQual,0.0
Heating,0.0
BsmtFinType2,0.0
RoofMatl,0.0
RoofStyle,0.0
BldgType,0.0
LowQualFinSF,0.0
BsmtHalfBath,0.0
PoolArea,0.0
MiscVal,0.0
Street,0.0
